word,frequency,rank
nisan,870,3.0
sayı,864,4.0
resmî,896,2.0
gazet,899,1.0
sayfa,863,5.0
lân,11,946.0
bölümü,39,294.0
yargi,7,
lânlari,18,613.0
bismil,1,
asliy,20,559.0
ceza,42,272.0
mahkemesinden,19,584.0
sayfa,863,5.0
resmî,896,2.0
gazet,899,1.0
nisan,870,3.0
sayı,864,4.0
gaziantep,10,
asliy,20,559.0
ceza,42,272.0
mahkemesinden,19,584.0
adalet,14,775.0
bakanlığı,95,82.0
adana,6,
denetim,187,24.0
serbestlik,2,
müdürlüğünden,134,47.0
nisan,870,3.0
sayı,864,4.0
resmî,896,2.0
gazet,899,1.0
sayfa,863,5.0
adalet,14,775.0
bakanlığı,95,82.0
adana,6,
denetim,187,24.0
serbestlik,2,
müdürlüğünden,134,47.0
bodrum,3,
asliy,20,559.0
ceza,42,272.0
mahkemesinden,19,584.0
gaziantep,10,
asliy,20,559.0
ceza,42,272.0
mahkemesinden,19,584.0
sayfa,863,5.0
resmî,896,2.0
gazet,899,1.0
nisan,870,3.0
sayı,864,4.0
gaziantep,10,
asliy,20,559.0
ceza,42,272.0
mahkemesinden,19,584.0
reyhanlı,2,
cumhuriyet,33,338.0
başsavcılığından,2,
artirma,11,946.0
eksi,12,872.0
ltme,11,946.0
hale,442,8.0
lânlari,18,613.0
öğle,2,
yemeği,2,
alim,27,423.0
halesi,6,
yapilacaktir,4,
türk,62,164.0
hava,14,775.0
kurumu,27,423.0
gökçen,2,
havacılık,11,946.0
ktisadi,10,
şletmesinden,1,
kurumumuz,5,
nönü,8,
havacılık,11,946.0
eğitim,61,169.0
merkezleri,1,
koordinatörlüğü,1,
nönü,8,
eski,11,946.0
şehi,5,
r,47,234.0
yerleşkemizdeki,1,
öğle,2,
yemeği,2,
alım,17,644.0
ihalesi,9,
kapalı,72,127.0
zarfla,5,
teklif,314,10.0
usulü,70,136.0
ile,490,7.0
nisan,870,3.0
pazartesi,7,
günü,72,127.0
saat,103,76.0
da,133,48.0
ihal,247,15.0
edilecektir,74,118.0
steklil,58,181.0
şartnamey,5,
göre,109,66.0
hazırlayacakları,7,
teklif,314,10.0
mektuplarını,4,
ihal,247,15.0
günü,72,127.0
saat,103,76.0
kadar,131,49.0
nönü,8,
havacılık,11,946.0
eğitim,61,169.0
merkezi,33,338.0
koordinatörlüğün,1,
türkkuşu,1,
cad,68,143.0
nönü,8,
eski,11,946.0
şehi,5,
r,47,234.0
veya,648,6.0
belirtilen,210,20.0
saat,103,76.0
kadar,131,49.0
ulaşacak,6,
şekild,33,338.0
posta,86,96.0
yolu,15,724.0
ile,490,7.0
teslim,71,131.0
edebilecektir,1,
steklil,58,181.0
bu,244,16.0
işe,19,584.0
ait,104,74.0
şartnamey,5,
www,57,185.0
thk,11,946.0
org,4,
tr,121,55.0
adresind,50,212.0
halelerimiz,1,
sekmesinden,1,
ücretsiz,5,
temin,66,151.0
edebilirl,5,
türk,62,164.0
hava,14,775.0
kurumu,27,423.0
gökçen,2,
havacılık,11,946.0
ktisadi,10,
şletmesi,19,584.0
veya,648,6.0
sayılı,340,9.0
kamu,71,131.0
hale,442,8.0
kanununa,18,613.0
devlet,105,73.0
hale,442,8.0
kanununa,18,613.0
tabi,28,409.0
değildir,22,522.0
haleyi,2,
yapıp,27,423.0
yapmamakta,27,423.0
serbesttir,27,423.0
nisan,870,3.0
sayı,864,4.0
resmî,896,2.0
gazet,899,1.0
sayfa,863,5.0
gayri,5,
menkul,4,
satilacaktir,17,644.0
bursa,7,
li,75,114.0
osmangazi,6,
belediy,128,52.0
başkanlığından,57,185.0
aşağıda,76,111.0
listed,8,
belirtilen,210,20.0
osmangazi,6,
